region,zone,district,Month,Year,date,test_performed,confirmed_all,confirmed_u5,confirmed_5_14,confirmed_15,population,pop_5,pop_514,pop_15,war_affected_regions,war_affected_zones,war_affected_districts
Amhara,Awi,Ankasha,July,2019,2019-07-01,90,12,0,1,11,241839.4388,34951.71865,60725.4884,146162.2317,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Ankasha,August,2019,2019-08-01,75,25,0,3,22,241839.4388,34951.71865,60725.4884,146162.2317,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Ankasha,September,2019,2019-09-01,153,55,0,2,53,241839.4388,34951.71865,60725.4884,146162.2317,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Ankasha,October,2019,2019-10-01,194,98,17,8,73,241839.4388,34951.71865,60725.4884,146162.2317,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Ankasha,November,2019,2019-11-01,246,54,1,3,50,241839.4388,34951.71865,60725.4884,146162.2317,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Ankasha,December,2019,2019-12-01,182,30,1,10,19,241839.4388,34951.71865,60725.4884,146162.2317,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Ankasha,January,2019,2019-01-01,104,26,1,3,22,241839.4388,34951.71865,60725.4884,146162.2317,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Ankasha,February,2019,2019-02-01,185,29,2,0,27,241839.4388,34951.71865,60725.4884,146162.2317,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Ankasha,March,2019,2019-03-01,499,45,5,7,33,241839.4388,34951.71865,60725.4884,146162.2317,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Ankasha,April,2019,2019-04-01,156,60,1,8,51,241839.4388,34951.71865,60725.4884,146162.2317,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Ankasha,May,2019,2019-05-01,369,115,12,19,84,241839.4388,34951.71865,60725.4884,146162.2317,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Ankasha,June,2019,2019-06-01,301,68,5,5,58,241839.4388,34951.71865,60725.4884,146162.2317,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Ankasha,July,2020,2020-07-01,258,67,4,12,51,245695.4325,35509.00413,61693.72213,148492.7062,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Ankasha,August,2020,2020-08-01,286,63,0,6,57,245695.4325,35509.00413,61693.72213,148492.7062,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Ankasha,September,2020,2020-09-01,327,61,0,4,57,245695.4325,35509.00413,61693.72213,148492.7062,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Ankasha,October,2020,2020-10-01,251,66,0,2,64,245695.4325,35509.00413,61693.72213,148492.7062,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Ankasha,November,2020,2020-11-01,337,63,0,2,61,245695.4325,35509.00413,61693.72213,148492.7062,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Ankasha,December,2020,2020-12-01,336,52,1,0,51,245695.4325,35509.00413,61693.72213,148492.7062,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Ankasha,January,2020,2020-01-01,182,30,0,0,30,245695.4325,35509.00413,61693.72213,148492.7062,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Ankasha,February,2020,2020-02-01,175,15,0,1,14,245695.4325,35509.00413,61693.72213,148492.7062,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Ankasha,March,2020,2020-03-01,161,17,0,1,16,245695.4325,35509.00413,61693.72213,148492.7062,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Ankasha,April,2020,2020-04-01,119,26,2,0,24,245695.4325,35509.00413,61693.72213,148492.7062,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Ankasha,May,2020,2020-05-01,152,24,0,1,23,245695.4325,35509.00413,61693.72213,148492.7062,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Ankasha,June,2020,2020-06-01,182,44,0,4,40,245695.4325,35509.00413,61693.72213,148492.7062,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Ankasha,July,2021,2021-07-01,117,28,0,2,26,249511.702,36060.54849,62651.98117,150799.1723,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Ankasha,August,2021,2021-08-01,83,34,1,1,32,249511.702,36060.54849,62651.98117,150799.1723,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Ankasha,September,2021,2021-09-01,175,57,0,4,53,249511.702,36060.54849,62651.98117,150799.1723,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Ankasha,October,2021,2021-10-01,147,44,0,3,41,249511.702,36060.54849,62651.98117,150799.1723,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Ankasha,November,2021,2021-11-01,228,60,0,0,60,249511.702,36060.54849,62651.98117,150799.1723,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Ankasha,December,2021,2021-12-01,285,60,1,0,59,249511.702,36060.54849,62651.98117,150799.1723,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Ankasha,January,2021,2021-01-01,182,42,0,1,41,249511.702,36060.54849,62651.98117,150799.1723,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Ankasha,February,2021,2021-02-01,327,47,1,6,40,249511.702,36060.54849,62651.98117,150799.1723,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Ankasha,March,2021,2021-03-01,357,23,0,1,22,249511.702,36060.54849,62651.98117,150799.1723,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Ankasha,April,2021,2021-04-01,247,45,7,5,33,249511.702,36060.54849,62651.98117,150799.1723,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Ankasha,May,2021,2021-05-01,200,37,1,4,32,249511.702,36060.54849,62651.98117,150799.1723,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Ankasha,June,2021,2021-06-01,214,38,1,7,30,249511.702,36060.54849,62651.98117,150799.1723,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Ayehu Guwagusa,July,2019,2019-07-01,354,81,8,20,53,105479.8131,15244.41493,26485.80893,63749.58925,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Ayehu Guwagusa,August,2019,2019-08-01,520,83,2,12,69,105479.8131,15244.41493,26485.80893,63749.58925,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Ayehu Guwagusa,September,2019,2019-09-01,508,122,6,32,84,105479.8131,15244.41493,26485.80893,63749.58925,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Ayehu Guwagusa,October,2019,2019-10-01,454,100,11,12,77,105479.8131,15244.41493,26485.80893,63749.58925,Affected_regions,Not_affected,Not_affected
